Course Title,Description,Giá (VND)
Lập trình Java cơ bản,"Học Java từ đầu: cài đặt, cú pháp, biến, vòng lặp, OOP.",373595
Lập trình Python cho người mới bắt đầu,Nắm vững Python từ cơ bản đến ứng dụng thực tế.,575434
Thiết kế Web với HTML & CSS,"Tạo trang web cơ bản bằng HTML, CSS.",380078
Lập trình JavaScript cơ bản,Tạo website tương tác với JavaScript.,336049
Cơ bản về Git & GitHub,Quản lý mã nguồn hiệu quả với Git và GitHub.,218762
Thiết kế giao diện web với Figma,Thiết kế UI web hiện đại bằng Figma.,541888
Lập trình SQL và quản lý cơ sở dữ liệu,Truy vấn và quản lý dữ liệu bằng SQL.,548235
ReactJS cơ bản,Tạo ứng dụng web với thư viện ReactJS.,225894
Thiết kế web chuẩn responsive,Giao diện web tương thích mọi thiết bị.,325188
Phát triển Web Fullstack với MERN,Xây dựng ứng dụng web MERN hoàn chỉnh.,260756
Tư duy lập trình cho người mới bắt đầu,Phát triển tư duy logic trong lập trình.,469398
Khóa học C++ cơ bản,Bắt đầu với lập trình C++ từ A đến Z.,267685
Làm quen với Data Structures & Algorithms,Cấu trúc dữ liệu và thuật toán cơ bản.,382062
Thiết kế UI/UX cơ bản,Nền tảng thiết kế giao diện và trải nghiệm người dùng.,227690
Lập trình Android với Java,Tạo ứng dụng Android đầu tiên bằng Java.,205627
